City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
253,utete,-7.986,38.758,297.57,87,78,0.31,TZ,1731376337
254,ribeira brava,32.65,-17.0667,294.26,72,35,0.52,PT,1731376338
255,grand falls-windsor,48.9332,-55.6649,278.43,90,100,3.13,CA,1731376340
256,mudgee,-32.5943,149.5871,297.34,47,91,4.65,AU,1731376341
257,hasaki,35.7333,140.8333,292.47,57,100,0.75,JP,1731376342
258,belisce,45.6803,18.4058,275.98,59,99,1.83,HR,1731376343
259,zhangye,38.9342,100.4517,280.35,43,100,1.95,CN,1731376344
260,manavalakurichi,8.1333,77.3,299.18,91,7,1.55,IN,1731376345
261,semnan,35.5729,53.3971,284.86,49,53,0.97,IR,1731376346
262,kloulklubed,7.0419,134.2556,302.28,69,9,3.37,PW,1731376347
263,dalandzadgad,43.5708,104.425,278.42,42,1,3.26,MN,1731376348
264,pak phanang,8.3511,100.202,301.24,76,100,1.16,TH,1731376349
265,chubbuck,42.9208,-112.4661,285.09,32,0,7.2,US,1731376351
266,igarka,67.4667,86.5833,250.15,94,100,4.19,RU,1731376352
267,caleta de carquin,-11.0925,-77.6267,291.85,85,99,4.02,PE,1731376353
268,kyshtovka,56.555,76.6271,262.28,87,100,6.14,RU,1731376355
269,ulanhot,46.0833,122.0833,276.9,32,0,3.61,CN,1731376356
270,linqiong,30.4159,103.4609,288.87,85,98,0.39,CN,1731376357
271,karratha,-20.7377,116.8463,308.44,23,36,4.67,AU,1731376358
272,labytnangi,66.6572,66.4183,256.45,97,100,2.22,RU,1731376359
273,osmanabad,18.1667,76.05,291.93,67,17,4.62,IN,1731376361
274,bokoro,12.3807,17.0568,298.16,27,4,3.2,TD,1731376362
275,ar rass,25.8694,43.4973,294.44,32,0,3.85,SA,1731376363
276,petropavlovsk-kamchatsky,53.0452,158.6483,275.48,44,75,6.0,RU,1731376364
277,abepura,-2.6333,140.5833,301.6,79,40,1.03,ID,1731376365
278,upper sandusky,40.8273,-83.2813,283.42,66,10,6.3,US,1731376366
279,kindu,-2.95,25.95,293.88,99,100,0.54,CD,1731376367
280,rupert,42.6191,-113.6772,284.12,35,0,2.06,US,1731376369
281,solnechnyy,50.7214,136.6319,268.59,50,100,2.38,RU,1731376371
282,bouca,6.5105,18.2733,294.04,71,32,1.16,CF,1731376372
283,harstad,68.799,16.5293,278.79,97,100,8.49,NO,1731376373
284,merizo village,13.2658,144.6691,303.14,88,85,1.46,GU,1731376374
285,mokhsogollokh,61.4681,128.9203,257.48,93,93,1.43,RU,1731376375
286,strathmore,51.0501,-113.3852,282.22,57,95,9.26,CA,1731376376
287,batticaloa,7.7102,81.6924,299.62,83,9,2.82,LK,1731376377
288,imbituba,-28.24,-48.6703,293.15,86,38,6.42,BR,1731376378
289,camiri,-20.05,-63.5167,294.47,72,93,4.13,BO,1731376379
290,broken hill,-31.95,141.4333,301.42,33,27,7.35,AU,1731376381
291,thurgoona,-36.0451,146.9919,303.8,21,98,1.22,AU,1731376382
292,lae,-6.7221,146.9847,301.27,67,81,3.42,PG,1731376383
293,klaksvik,62.2266,-6.589,284.08,89,85,6.69,FO,1731376384
294,sananduva,-27.9497,-51.8067,290.83,93,71,2.4,BR,1731376154
295,fabens,31.5023,-106.1586,290.4,19,100,1.82,US,1731376386
296,maydanshakhr,34.3956,68.8662,276.79,38,3,0.54,AF,1731376387
297,chibougamau,49.9168,-74.3659,271.94,93,100,7.72,CA,1731376388
298,guelendeng,10.9176,15.5501,297.53,30,9,2.31,TD,1731376389
299,beira,-19.8436,34.8389,300.2,88,75,3.81,MZ,1731376390
300,mil'kovo,55.6078,37.7956,274.45,58,65,2.14,RU,1731376392
301,kribi,2.95,9.9167,299.24,87,60,1.99,CM,1731376393
302,zheleznodorozhnyy,55.7503,38.0042,272.9,73,50,1.83,RU,1731376394
303,balabac,7.9868,117.0645,302.84,68,90,1.48,PH,1731376395
304,serhetabat,35.2799,62.3438,282.13,57,0,1.17,TM,1731376396
305,kirensk,57.7853,108.1119,271.48,85,100,3.24,RU,1731376397
306,orosei,40.3798,9.6929,288.7,82,100,1.78,IT,1731376398
307,bamboo flat,11.7,92.7167,301.2,83,75,1.03,IN,1731376399
308,saldanha,-33.0117,17.9442,286.18,91,53,6.42,ZA,1731375965
309,polva,58.0603,27.0694,275.17,85,100,2.66,EE,1731376402
310,quellon,-43.1167,-73.6167,282.43,93,100,3.32,CL,1731376403
311,fisterra,42.9049,-9.2629,288.37,73,11,8.41,ES,1731376404
312,mgandu,-5.95,34.1333,293.34,58,97,2.47,TZ,1731376405
313,acarau,-2.8856,-40.12,298.86,76,100,4.67,BR,1731376406
314,northam,51.0333,-4.2167,282.93,81,100,2.08,GB,1731376407
315,acapulco de juarez,16.8634,-99.8901,297.75,84,57,2.6,MX,1731376409
316,luderitz,-26.6481,15.1594,288.43,76,40,5.77,NA,1731376410
317,qarqaraly,49.4058,75.4742,255.91,99,100,2.22,KZ,1731376411
318,tymovskoye,50.8456,142.655,270.57,48,100,2.04,RU,1731376412
319,egilsstadir,65.2653,-14.3948,285.1,76,0,6.17,IS,1731376413
320,wanning,18.8003,110.3967,298.06,85,100,4.96,CN,1731376414
321,afaahiti,-17.75,-149.2833,296.69,81,98,7.96,PF,1731376415
322,vilyuysk,63.7553,121.6247,258.69,97,98,1.31,RU,1731376335
323,kurumkan,54.3,110.3,264.45,80,80,2.15,RU,1731376417
324,smithers,54.7804,-127.1743,274.33,93,75,1.54,CA,1731376418
325,moree,-29.4667,149.85,304.54,31,75,5.18,AU,1731376420
326,nikolayevsk-on-amure,53.1406,140.73,266.94,78,70,3.69,RU,1731376421
327,bella union,-30.2752,-57.6007,286.81,93,15,3.37,UY,1731376422
328,vorkuta,67.5,64.0,254.22,98,79,3.66,RU,1731376423
329,shalkar,47.8288,59.6258,270.06,57,100,3.94,KZ,1731376424
330,aqsay,51.1678,52.995,269.54,68,9,1.97,KZ,1731376425
331,puerto san jose,13.9256,-90.8244,299.87,79,100,0.61,GT,1731376426
332,villa emilio carranza,19.9667,-96.6,298.01,84,81,1.39,MX,1731376428
333,rafsanjan,30.4067,55.9939,289.68,29,0,2.17,IR,1731376429
334,bol'shoye boldino,55.0059,45.3142,270.44,91,8,2.34,RU,1731376430
335,gevas,38.2968,43.1083,277.93,90,36,0.38,TR,1731376432
336,melfi,40.9965,15.6514,281.51,80,100,1.28,IT,1731376433
337,vilyuchinsk,52.9306,158.4028,276.3,74,17,14.81,RU,1731376434
338,waat,51.1454,6.4958,282.53,98,100,4.12,DE,1731376435
339,illizi,26.4833,8.4667,290.76,43,56,1.01,DZ,1731376436
340,flin flon,54.7682,-101.865,273.53,73,100,5.73,CA,1731376437
341,namibe,-15.1961,12.1522,294.67,72,10,2.61,AO,1731376438
342,meadow lakes,61.6247,-149.6011,269.49,85,0,0.89,US,1731376439
343,concepcion,-36.827,-73.0498,287.04,62,0,5.14,CL,1731376440
344,dattapur,20.7667,78.1667,293.6,61,0,1.56,IN,1731376441
345,veraval,20.9,70.3667,298.7,45,1,3.83,IN,1731376443
346,buarcos,40.166,-8.8768,288.53,63,2,8.21,PT,1731376444
